title,link,image
格力电器：孟羽童已离职,https://www.iesdouyin.com/share/video/7231464789606812960/?region=CN&mid=7231465122005404473&u_code=0&titleType=title&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&from_ssr=1,https://p26-sign.douyinpic.com/tos-cn-p-0015/ogNnQs8zDCxBQiegkLJA4p1bbMB9BFAW2IAeZh~c5_300x400.jpeg?x-expires=1685091600&x-signature=Aqqr5U9R5KZFYcbLwjIKr6mmeKA%3D&from=2563711402_large
都问我孟羽童离职怎么看，老李在2021年也预测过，那就谈谈此事。#孟羽童,https://www.iesdouyin.com/share/video/7231812399387462927/?region=CN&mid=7231812461002001210&u_code=0&titleType=title&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&from_ssr=1,https://p3-sign.douyinpic.com/tos-cn-i-0813c001/1493ae72e28c4829aa1e7908c2fbd5ae~c5_300x400.jpeg?x-expires=1685091600&x-signature=6E8U2yS7IgXScviCFwz6q7mYAlQ%3D&from=2563711402_large
近日，孟羽童视频被格力删除，直播间账号更名“格力明珠精选”，头像只剩董明珠！,https://www.iesdouyin.com/share/video/7231390464501484800/?region=CN&mid=7128219388427110401&u_code=0&titleType=title&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&from_ssr=1,https://p3-sign.douyinpic.com/tos-cn-i-0813c001/6e65430c55354775bf9cb60c91736c61~c5_300x400.jpeg?x-expires=1685091600&x-signature=ltY5lQQ5M5n1t%2BHpu9pEk8woUQg%3D&from=2563711402_large
#格力 回应：#孟羽童 确已离职#热点,https://www.iesdouyin.com/share/video/7231498313650965797/?region=CN&mid=7216579693583239226&u_code=0&titleType=title&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&from_ssr=1,https://p6-sign.douyinpic.com/tos-cn-i-dy/i7159423a8ee04cd8b3baa1b16dc18acf~c5_300x400.jpeg?x-expires=1685091600&x-signature=BnqM2ioTSD0Qa1hJIWGx4LGc2jg%3D&from=2563711402_large
近日，格力称孟羽童已离职引发热议。5月11日，李国庆发视频表达看法：孟羽童离职是早晚的事，当格力管理层对孟羽童来说职业定位发生了扭曲。,https://www.iesdouyin.com/share/video/7231885824386714940/?region=CN&mid=7223372581331585026&u_code=0&titleType=title&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&from_ssr=1,https://p3-sign.douyinpic.com/tos-cn-i-0813/79f30ea55bf04b8d9545d60359dbcc9e~c5_300x400.jpeg?x-expires=1685091600&x-signature=PvXBVWIfscLAnAA3YH8%2BIzkgVOA%3D&from=2563711402_large
#格力账号删除孟羽童视频 账号更名“格力明珠精选”，头像只剩董明珠一人。董明珠：她做视频去了,https://www.iesdouyin.com/share/video/7231424988987936061/?region=CN&mid=6888652602045630477&u_code=0&titleType=title&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&from_ssr=1,https://p3-sign.douyinpic.com/tos-cn-i-0813c001/7c34b5bbd6494bc9aefc9ed351578588~c5_300x400.jpeg?x-expires=1685091600&x-signature=UrxqTyrQM3PxOVOmxUUmhHMMiIk%3D&from=2563711402_large
格力：孟羽童已离职，人员流动很正常#孟羽童 #关注,https://www.iesdouyin.com/share/video/7231485412944940345/?region=CN&mid=7231485477549886268&u_code=0&titleType=title&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&from_ssr=1,https://p3-sign.douyinpic.com/tos-cn-p-0015/o0RbebdoyENjAYAJZBLfjRKhItzBd4Aj7gtOXl~c5_300x400.jpeg?x-expires=1685091600&x-signature=bjTokLr9wq53SpF8m4KV4QmRFKw%3D&from=2563711402_large
5月10日，格力回应删除孟羽童视频、账号改名：她已离职，人员流动很正常，孟羽童：靠别人不如靠自己,https://www.iesdouyin.com/share/video/7231482727122423096/?region=CN&mid=7231482798610156348&u_code=0&titleType=title&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&from_ssr=1,https://p26-sign.douyinpic.com/tos-cn-i-dy/3654b63811954312933db0a6475fd2a8~c5_300x400.jpeg?x-expires=1685091600&x-signature=ZCW8CwdFrzzTxxapyLZz%2B%2BWicAk%3D&from=2563711402_large
格力直播间删除孟羽童视频：旗下直播间已更名为“格力明珠精选”#热点 #关注,https://www.iesdouyin.com/share/video/7231475865803083068/?region=CN&mid=6812908755928402701&u_code=0&titleType=title&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&from_ssr=1,https://p26-sign.douyinpic.com/tos-cn-i-dy/i5a4cfa924c0b499c8e9de008bdf69c0b~c5_300x400.jpeg?x-expires=1685091600&x-signature=BSSy%2BQIwdu1XDOOLm1HEiDG7sxA%3D&from=2563711402_large
格力直播间删除孟羽童视频，并且更名。5月10日，格力电器回应称孟羽童已离职。,https://www.iesdouyin.com/share/video/7231484545973898496/?region=CN&mid=7231484582904777533&u_code=0&titleType=title&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&from_ssr=1,https://p26-sign.douyinpic.com/tos-cn-i-0813c001/37826ea6554d4b24aeff071c002a490a~c5_300x400.jpeg?x-expires=1685091600&x-signature=x8why2hdHNsnJWIxl0rU6gCl4OE%3D&from=2563711402_large
