"filename", "language", "Python", "CSV", "SQL", "Markdown", "Log", "Excel", "XML", "pip requirements", "comment", "blank", "total"
"d:\PYproject\PYscript\16爬取抖音热榜\selenium_test.py", "Python", 30, 0, 0, 0, 0, 0, 0, 0, 3, 14, 47
"d:\PYproject\PYscript\16爬取抖音热榜\抓取抖音热榜(selenium).py", "Python", 67, 0, 0, 0, 0, 0, 0, 0, 22, 17, 106
"d:\PYproject\PYscript\17爬取抖音创作者平台\爬取抖音创作者平台.py", "Python", 22, 0, 0, 0, 0, 0, 0, 0, 2, 3, 27
"d:\PYproject\PYscript\1抓取热点\1抓取热点.py", "Python", 20, 0, 0, 0, 0, 0, 0, 0, 8, 10, 38
"d:\PYproject\PYscript\1抓取热点\gpt_爬取微博热搜.py", "Python", 16, 0, 0, 0, 0, 0, 0, 0, 3, 3, 22
"d:\PYproject\PYscript\1抓取热点\gpt_爬取腾讯新闻前十条.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 3, 1, 18
"d:\PYproject\PYscript\1抓取热点\redian.csv", "CSV", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\PYproject\PYscript\1抓取热点\博客园_抓取热点.py", "Python", 46, 0, 0, 0, 0, 0, 0, 0, 6, 14, 66
"d:\PYproject\PYscript\1抓取热点\热搜榜-2023-03-05.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\PYproject\PYscript\1抓取热点\知乎_抓取微博热点.py", "Python", 21, 0, 0, 0, 0, 0, 0, 0, 10, 5, 36
"d:\PYproject\PYscript\1抓取热点\豆瓣电影排行榜.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 9, 5, 28
"d:\PYproject\PYscript\2抓取代理ip\抓取代理ip.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\PYproject\PYscript\3微信机器人\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\PYproject\PYscript\3微信机器人\微信机器人.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5
"d:\PYproject\PYscript\4爬取城市编码\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\PYproject\PYscript\4爬取城市编码\爬取城市编码.py", "Python", 16, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"d:\PYproject\PYscript\5爬取天气\1爬取天气.py", "Python", 83, 0, 0, 0, 0, 0, 0, 0, 4, 17, 104
"d:\PYproject\PYscript\5爬取天气\2爬取天气.py", "Python", 23, 0, 0, 0, 0, 0, 0, 0, 5, 12, 40
"d:\PYproject\PYscript\5爬取天气\3抓取天气_AI补全版.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 8, 4, 30
"d:\PYproject\PYscript\6爬取大学排名\1爬取大学排名.py", "Python", 40, 0, 0, 0, 0, 0, 0, 0, 12, 12, 64
"d:\PYproject\PYscript\7爬取壁纸\1爬取动漫壁纸.py", "Python", 22, 0, 0, 0, 0, 0, 0, 0, 2, 7, 31
"d:\PYproject\PYscript\7爬取壁纸\爬取壁纸_代码模板.py", "Python", 44, 0, 0, 0, 0, 0, 0, 0, 10, 12, 66
"d:\PYproject\PYscript\8斗破苍穹小说\爬取斗破苍穹小说.py", "Python", 25, 0, 0, 0, 0, 0, 0, 0, 9, 8, 42
"d:\PYproject\PYscript\9爬取B站用户\README.md", "Markdown", 0, 0, 0, 73, 0, 0, 0, 0, 0, 58, 131
"d:\PYproject\PYscript\9爬取B站用户\bilibili_user.py", "Python", 130, 0, 0, 0, 0, 0, 0, 0, 5, 23, 158
"d:\PYproject\PYscript\9爬取B站用户\bilibili_user_info.sql", "SQL", 0, 0, 51, 0, 0, 0, 0, 0, 12, 8, 71
"d:\PYproject\PYscript\9爬取B站用户\get_face.py", "Python", 15, 0, 0, 0, 0, 0, 0, 0, 1, 5, 21
"d:\PYproject\PYscript\9爬取B站用户\pathTest.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4, 8
"Total", "-", 1397, 1, 51, 137, 1, 78, 67, 38, 334, 505, 2609
